Name,Longitude,Latitude,Altitude,Jan,Feb,Mar,Apr,Mai,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Gotland,18.933,57.917,10,4.39,3.25,2.75,3.48,3.17,2.94,3.22,3.38,3.13,2.90,3.21,-,-
Toravere,26.450,58.250,70,2.48,2.57,3.02,3.16,3.15,2.89,3.08,3.36,3.32,2.81,2.58,-,-
SMHI,16.133,58.567,0,-,2.42,2.74,2.85,2.98,2.82,3.04,2.95,3.05,2.90,2.14,-,-
Yakutsk,129.367,61.65,118,-,-,3.11,3.23,2.78,2.89,3.00,2.70,2.62,2.23,2.40,-,-
Bonanza_Creek,-148.300,64.733,150,-,-,2.52,2.84,2.90,3.41,3.18,4.04,2.66,2.31,-,-,-
Barrow,-156.650,71.300,0,-,-,2.78,3.33,2.71,2.47,2.60,2.62,2.50,2.27,-,-,-
Hornsund,15.550,77.000,0,-,-,2.59,2.73,2.79,2.48,2.42,2.56,2.36,-,-,-,-
Ilorin,4.333,8.317,350,12.42,14.68,15.53,11.34,8.97,6.95,5.56,4.93,5.20,6.21,7.58,8.95,8.77
Bac_Lieu,105.717,9.267,10,5.60,4.92,4.58,4.22,4.45,4.12,4.36,4.37,4.40,4.29,4.41,5.35,4.64
Djougou,1.583,9.750,400,12.23,12.03,15.37,11.96,9.14,8.91,6.04,6.06,7.38,6.75,7.30,7.64,9.08
